"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2171627,"November 20, 2021",Pennsylvania,Philadelphia,"5100 block of F St",1,0,N/A
2171623,"November 20, 2021",Wisconsin,Milwaukee,"8400 block of N Servite Dr",2,0,N/A
2171621,"November 20, 2021",Georgia,Atlanta,"2694 Hood Ave NW",1,0,N/A
2171581,"November 20, 2021",Georgia,Gray,"586 Comer Rd",1,0,N/A
2171586,"November 20, 2021",Maine,Hiram,"Oak Woods Rd",1,0,N/A
2171568,"November 20, 2021",California,Fresno,"3665 N Pleasant Ave",2,2,N/A
2171566,"November 20, 2021",Georgia,Valdosta,"W Gordon St and Lankford Dr",1,0,N/A
2171563,"November 20, 2021",Illinois,Chicago,"3800 block of W Roosevelt Rd",1,0,N/A
2171519,"November 20, 2021",Arizona,Yuma,"1200 block of W 3rd St",1,1,N/A
2171479,"November 20, 2021",Illinois,Gurnee,"Waveland Ave and Grandview Ave",1,0,N/A
2171445,"November 20, 2021",Pennsylvania,Philadelphia,"3200 block of Longshore Ave",1,1,N/A
2171411,"November 20, 2021",Florida,Jacksonville,"Burlingame Ct",1,0,N/A
2171247,"November 19, 2021",Kentucky,"Oak Grove","9000 block of Pembroke Oak Grove Rd",1,0,N/A
2170949,"November 19, 2021",Kentucky,Louisville,"I-264 and Dixie Hwy",1,2,N/A
2171212,"November 19, 2021",Mississippi,"Greenwood (Avalon)","MS 7",2,0,N/A
2171176,"November 19, 2021",Virginia,Petersburg,"300 block of Poplar St",1,0,N/A
2171110,"November 19, 2021","New York","Corona (Queens)","232nd St and Merrick Blvd",1,0,N/A
2171103,"November 19, 2021",Tennessee,Memphis,"2700 block of McMurray St",1,1,N/A
2171036,"November 19, 2021",Maryland,"Windsor Mill","1650 Belmont Ave",1,0,N/A
2171669,"November 19, 2021",Tennessee,Memphis,N/A,1,0,N/A
2171656,"November 19, 2021",Tennessee,Memphis,"2375 Ketchum Rd",1,0,N/A
2171650,"November 19, 2021",Tennessee,Memphis,"6051 Summer Trace Dr",1,0,N/A
2171638,"November 19, 2021",California,Modesto,"1300 block of Canal St",1,0,N/A
2171579,"November 19, 2021",Georgia,Macon,"701 Greentree Pkwy",1,0,N/A
2171590,"November 19, 2021",Georgia,Atlanta,"3600 Block of Buford Hwy",1,0,N/A
2170940,"November 19, 2021",Wisconsin,Potosi,"N Main St",1,1,N/A
2171577,"November 19, 2021",Georgia,Macon,"1200 block of Rice Place",1,0,N/A
2171452,"November 19, 2021",Texas,Houston,"4400 block of Weaver Rd",1,0,N/A
2170905,"November 19, 2021",California,"San Francisco","900 block of Folsom St",1,0,N/A
2171516,"November 19, 2021",Illinois,Rockford,"300 block of Bancroft Ct",1,0,N/A
2171494,"November 19, 2021",Texas,"El Paso","6701 Convair Rd",1,0,N/A
2171482,"November 19, 2021",Texas,Dallas,"9607 Wickersham Dr",1,0,N/A
2170773,"November 19, 2021",Georgia,Atlanta,"777 Oak St SW",1,0,N/A
2171439,"November 19, 2021",California,Victorville,"14400 Bear Valley Rd",1,2,N/A
2170794,"November 19, 2021",California,"South Gate","Southern Ave and Burtis St",1,0,N/A
2171427,"November 19, 2021",California,"Los Angeles","Gault St and Winnetka Ave",1,0,N/A
2171423,"November 19, 2021",California,"South Gate","8600 block of Atlantic Ave",1,0,N/A
2170710,"November 19, 2021",Indiana,Muncie,"1400 block of E 7th St",1,0,N/A
2170675,"November 19, 2021","New Mexico",Artesia,"Cottonwood Rd",1,0,N/A
2171397,"November 19, 2021",Louisiana,"Center Point","2300 block of 5th St NW",1,2,N/A
2170646,"November 19, 2021",Florida,Jacksonville,"600 block of Autrey Ave S",1,0,N/A
2171370,"November 19, 2021",Illinois,Chicago,"7100 block of S Seeley Ave",1,1,N/A
2171334,"November 19, 2021",Louisiana,"New Orleans","1400 block of N Claiborne Ave",1,0,N/A
2171332,"November 19, 2021",Louisiana,Maurice,"Chargois Rd",1,0,N/A
2171313,"November 19, 2021",Alabama,Tuscaloosa,"Hay Ct",1,0,N/A
2171309,"November 19, 2021",Alabama,"Birmingham (Center Point)","2300 block of Fifth St NW",1,2,N/A
2171294,"November 19, 2021",Texas,Houston,"Greenspoint Dr and Sam Houston Tollway",1,0,N/A
2171276,"November 19, 2021",Missouri,"Saint Louis","600 block of Robert Ave",1,0,N/A
2170554,"November 18, 2021",California,Hanford,"E Cameron St",1,0,N/A
2171201,"November 18, 2021",Pennsylvania,Philadelphia,"6300 block of Castor Ave",1,2,N/A
2171184,"November 18, 2021",Pennsylvania,Philadelphia,"2100 block of E William St",1,1,N/A
2171159,"November 18, 2021","West Virginia",Elkins,"Whiteman Ave",1,0,N/A
2170438,"November 18, 2021",Maryland,Cambridge,"700 block of Greenwood Ave",1,3,N/A
2170363,"November 18, 2021",Florida,Miami,"1900 NW 54th St",1,0,N/A
2170344,"November 18, 2021",Pennsylvania,Washington,"66 Skylark Dr",2,0,N/A
2170888,"November 18, 2021",Illinois,Freeport,"W Pleasant St and S Galena Ave",2,0,N/A
2170614,"November 18, 2021","North Carolina","Bessemer City","105 Coho Rd",1,0,N/A
2170311,"November 18, 2021",Wisconsin,Milwaukee,"1900 block of N 38th St",1,0,N/A
2170607,"November 18, 2021","North Carolina",Arden,"13 Christ School Rd",1,0,N/A
2171026,"November 18, 2021",Maryland,Baltimore,"1300 block of N Stricker Street",1,0,N/A
2170247,"November 18, 2021",Maryland,Smithsburg,"MD-418 and Midvale St",4,0,N/A
2170094,"November 18, 2021",California,Oakland,"447 17th St",2,0,N/A
2170966,"November 18, 2021","South Carolina",Charleston,"7554 Northwoods Blvd",1,0,N/A
2170543,"November 18, 2021",California,Oakland,"I-80 and I-880",1,0,N/A
2170209,"November 18, 2021",Kentucky,Louisville,"1871 Berry Blvd",1,0,N/A
2170335,"November 18, 2021",Georgia,Acworth,"5059 Verbena Dr",2,0,N/A
2170896,"November 18, 2021",Alabama,Gurley,"280 Gurley Pike",1,0,N/A
2170864,"November 18, 2021",Ohio,Toledo,"2300 block of Caledonia St",1,0,N/A
2170338,"November 18, 2021",Arizona,Tucson,"5170 S Julian Dr",1,0,N/A
2170151,"November 18, 2021",Maryland,Baltimore,"2100 block of Aiken St",1,0,N/A
2170055,"November 18, 2021",Illinois,Chicago,"I-55 and Dan Ryan Expressway",1,0,N/A
2170049,"November 18, 2021",Nevada,"Las Vegas","Boulder Hwy and Nellis Blvd",1,0,N/A
2169993,"November 18, 2021","New Mexico",Albuquerque,"557 Tramway Blvd NE",1,0,N/A
2170352,"November 18, 2021","New York",Albany,"274 Delaware Ave",1,0,N/A
2170699,"November 18, 2021",Texas,Navasota,"711 Foster St",1,0,N/A
