"","Incident_ID","Incident_date","State","City","Address","No_killed","No_injured","Geo_Address","lon","lat"
"1",271363,2014-12-29,"Louisiana","New Orleans","Poydras and Bolivar",0,4,"Poydras and Bolivar, New Orleans, Louisiana",-90.0839102,29.9542981
"2",269679,2014-12-27,"California","Los Angeles","8800 block of South Figueroa Street",1,3,"8800 block of South Figueroa Street, Los Angeles, California",-118.2827122,33.9573722
"3",270036,2014-12-27,"California","Sacramento","4000 block of May Street",0,4,"4000 block of May Street, Sacramento, California",-121.4432744,38.6404288
"4",269167,2014-12-26,"Illinois","East St. Louis","2500 block of Summit Avenue",1,3,"2500 block of Summit Avenue, East St. Louis, Illinois",-90.1254163,38.6196182
"5",268598,2014-12-24,"Missouri","Saint Louis","18th and Pine",1,3,"18th and Pine, Saint Louis, Missouri",-90.2059421,38.630663
"6",267792,2014-12-23,"Kentucky","Winchester","260 Oxford Drive",1,3,"260 Oxford Drive, Winchester, Kentucky",-84.2094759,38.0035784
"7",268282,2014-12-22,"Michigan","Detroit","Charlevoix and Philip",1,3,"Charlevoix and Philip, Detroit, Michigan",-82.9486464,42.38358
"8",282186,2014-12-22,"New York","Webster","191 Lake Rd",4,2,"191 Lake Rd, Webster, New York",-77.5255123,43.236762
"9",267721,2014-12-22,"Illinois","Chicago","5700 block of South Green Street",0,5,"5700 block of South Green Street, Chicago, Illinois",-87.646613,41.7904883
"10",266570,2014-12-21,"Florida","Sarasota","4034 N Washington Blvd",2,2,"4034 N Washington Blvd, Sarasota, Florida",-82.5299717,27.3688478
"11",268910,2014-12-21,"Mississippi","Waynesboro","Central Avenue",1,4,"Central Avenue, Waynesboro, Mississippi",-88.6584091,31.6782332
"12",266424,2014-12-21,"Illinois","Calumet City","600 block of Escanba",1,8,"600 block of Escanba, Calumet City, Illinois",-87.553163,41.6180821
"13",266407,2014-12-20,"Illinois","Rockford","3200 block of Montrose Avenue",4,0,"3200 block of Montrose Avenue, Rockford, Illinois",-89.1071791,42.2938571
"14",264901,2014-12-16,"New Jersey","Elizabeth","Anna Street",0,4,"Anna Street, Elizabeth, New Jersey",-74.2032302,40.6684438
"15",263556,2014-12-15,"Pennsylvania","Lansdale","100 block of West 5th St",7,0,"100 block of West 5th St, Lansdale, Pennsylvania",-75.2820049,40.2459297
"16",263376,2014-12-14,"Florida","Miami","1311 Northwest 2nd Avenue",1,4,"1311 Northwest 2nd Avenue, Miami, Florida",-80.1984688,25.7871407
